hrs	 time	 fatigue
41.4375	 18.8999	 5.71875
41.5	 18.8701	 5.75
41.5625	 18.8403	 5.78125
41.625	 18.8107	 5.8125
41.6875	 18.781	 5.84375
41.75	 18.7515	 5.875
41.8125	 18.7219	 5.90625
41.875	 18.6924	 5.9375
41.9375	 18.663	 5.96875
42	 18.6335	 6
42.0625	 18.6344	 6
42.125	 18.6352	 6
42.1875	 18.6361	 6
42.25	 18.6369	 6
42.3125	 18.6378	 6
42.375	 18.6386	 6
42.4375	 18.6395	 6
42.5	 18.6403	 6
42.5625	 18.6411	 6
42.625	 18.642	 6
42.6875	 18.6428	 6
42.75	 18.6436	 6
42.8125	 18.6445	 6
42.875	 18.6453	 6
42.9375	 18.6461	 6
43	 18.647	 6
43.0625	 18.6478	 6
43.125	 18.6486	 6
43.1875	 18.6494	 6
43.25	 18.6502	 6
43.3125	 18.6511	 6
43.375	 18.6519	 6
43.4375	 18.6527	 6
43.5	 18.6535	 6
43.5625	 18.6543	 6
43.625	 18.6551	 6
43.6875	 18.6559	 6
43.75	 18.6567	 6
43.8125	 18.6575	 6
43.875	 18.6583	 6
43.9375	 18.6591	 6
44	 18.6599	 6
44.0625	 18.6456	 6.01562
44.125	 18.6312	 6.03125
44.1875	 18.6169	 6.04688
44.25	 18.6026	 6.0625
44.3125	 18.5883	 6.07812
44.375	 18.574	 6.09375
44.4375	 18.5596	 6.10938
44.5	 18.5454	 6.125
44.5625	 18.5311	 6.14062
44.625	 18.5168	 6.15625
44.6875	 18.5025	 6.17188
44.75	 18.4882	 6.1875
44.8125	 18.4739	 6.20312
44.875	 18.4597	 6.21875
44.9375	 18.4454	 6.23438
45	 18.4312	 6.25
45.0625	 18.4169	 6.26562
45.125	 18.4027	 6.28125
45.1875	 18.3884	 6.29688
45.25	 18.3742	 6.3125
45.3125	 18.3599	 6.32812
45.375	 18.3457	 6.34375
45.4375	 18.3315	 6.35938
45.5	 18.3172	 6.375
45.5625	 18.303	 6.39062
45.625	 18.2888	 6.40625
45.6875	 18.2746	 6.42188
45.75	 18.2604	 6.4375
45.8125	 18.2462	 6.45312
45.875	 18.2319	 6.46875
45.9375	 18.2177	 6.48438
46	 18.2035	 6.5
46.0625	 18.1893	 6.51562
46.125	 18.1751	 6.53125
46.1875	 18.1609	 6.54688
46.25	 18.1467	 6.5625
46.3125	 18.1325	 6.57812
46.375	 18.1183	 6.59375
46.4375	 18.1041	 6.60938
46.5	 18.0899	 6.625
46.5625	 18.0757	 6.64062
46.625	 18.0614	 6.65625
46.6875	 18.0472	 6.67188
46.75	 18.033	 6.6875
46.8125	 18.0188	 6.70312
46.875	 18.0046	 6.71875
46.9375	 17.9904	 6.73438
47	 17.9762	 6.75
47.0625	 17.962	 6.76562
47.125	 17.9477	 6.78125
47.1875	 17.9335	 6.79688
47.25	 17.9193	 6.8125
47.3125	 17.9051	 6.82812
47.375	 17.8908	 6.84375
47.4375	 17.8766	 6.85938
47.5	 17.8624	 6.875
47.5625	 17.8481	 6.89062
47.625	 17.8339	 6.90625
47.6875	 17.8196	 6.92188
47.75	 17.8054	 6.9375
47.8125	 17.7912	 6.95312
47.875	 17.7769	 6.96875
47.9375	 17.7626	 6.98438
48	 17.7484	 7
48.0625	 17.764	 6.98438
48.125	 17.7796	 6.96875
48.1875	 17.7952	 6.95312
48.25	 17.8109	 6.9375
48.3125	 17.8265	 6.92188
48.375	 17.8421	 6.90625
48.4375	 17.8577	 6.89062
48.5	 17.8733	 6.875
48.5625	 17.8889	 6.85938
48.625	 17.9045	 6.84375
48.6875	 17.9201	 6.82812
48.75	 17.9357	 6.8125
48.8125	 17.9512	 6.79688
48.875	 17.9668	 6.78125
48.9375	 17.9824	 6.76562
49	 17.998	 6.75
49.0625	 18.0136	 6.73438
49.125	 18.0291	 6.71875
49.1875	 18.0447	 6.70312
49.25	 18.0603	 6.6875
49.3125	 18.0759	 6.67188
49.375	 18.0914	 6.65625
49.4375	 18.107	 6.64062
49.5	 18.1226	 6.625
49.5625	 18.1382	 6.60938
49.625	 18.1537	 6.59375
49.6875	 18.1693	 6.57812
49.75	 18.1849	 6.5625
49.8125	 18.2005	 6.54688
49.875	 18.2161	 6.53125
49.9375	 18.2316	 6.51562
50	 18.2472	 6.5
50.0625	 18.2389	 6.50938
50.125	 18.2306	 6.51875
50.1875	 18.2222	 6.52812
50.25	 18.2139	 6.5375
50.3125	 18.2055	 6.54688
50.375	 18.1972	 6.55625
50.4375	 18.1889	 6.56563
50.5	 18.1805	 6.575
50.5625	 18.1722	 6.58437
50.625	 18.1639	 6.59375
50.6875	 18.1555	 6.60313
50.75	 18.1472	 6.6125
50.8125	 18.1388	 6.62188
50.875	 18.1305	 6.63125
50.9375	 18.1222	 6.64062
51	 18.1138	 6.65
51.0625	 18.1055	 6.65938
51.125	 18.0971	 6.66875
51.1875	 18.0888	 6.67812
51.25	 18.0804	 6.6875
51.3125	 18.0721	 6.69688
51.375	 18.0637	 6.70625
51.4375	 18.0554	 6.71562
51.5	 18.047	 6.725
51.5625	 18.0387	 6.73438
51.625	 18.0303	 6.74375
51.6875	 18.022	 6.75312
51.75	 18.0136	 6.7625
51.8125	 18.0053	 6.77187
51.875	 17.9969	 6.78125
51.9375	 17.9885	 6.79063
52	 17.9802	 6.8
52.0625	 18.0046	 6.775
52.125	 18.0291	 6.75
52.1875	 18.0536	 6.725
52.25	 18.078	 6.7
52.3125	 18.1025	 6.675
52.375	 18.127	 6.65
52.4375	 18.1514	 6.625
52.5	 18.1759	 6.6
52.5625	 18.2004	 6.575
52.625	 18.2249	 6.55
52.6875	 18.2494	 6.525
52.75	 18.2739	 6.5
52.8125	 18.2984	 6.475
52.875	 18.3229	 6.45
52.9375	 18.3475	 6.425
53	 18.372	 6.4
53.0625	 18.3966	 6.375
53.125	 18.4212	 6.35
53.1875	 18.4458	 6.325
53.25	 18.4704	 6.3
53.3125	 18.495	 6.275
53.375	 18.5197	 6.25
53.4375	 18.5444	 6.225
53.5	 18.5691	 6.2
53.5625	 18.5938	 6.175
53.625	 18.6185	 6.15
53.6875	 18.6433	 6.125
53.75	 18.6681	 6.1
53.8125	 18.6929	 6.075
53.875	 18.7178	 6.05
53.9375	 18.7426	 6.025
54	 18.7676	 6
54.0625	 18.7559	 6.0125
54.125	 18.7443	 6.025
54.1875	 18.7327	 6.0375
54.25	 18.7211	 6.05
54.3125	 18.7095	 6.0625
54.375	 18.6979	 6.075
54.4375	 18.6864	 6.0875
54.5	 18.6748	 6.1
54.5625	 18.6632	 6.1125
54.625	 18.6516	 6.125
54.6875	 18.6401	 6.1375
54.75	 18.6285	 6.15
54.8125	 18.617	 6.1625
54.875	 18.6054	 6.175
54.9375	 18.5939	 6.1875
55	 18.5823	 6.2
